,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
56,59,Brian Ferguson,Mr. Charles Thomas,FIGO66059539305030,3,0.4227695299,0.0,2019-03-12T00:00:00,12,2916.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
65,68,Dale O'Sullivan-Moore,Nathan Jones,KDZJ41266928454221,19,0.4798450253,0.0,2018-10-22T00:00:00,41,8880.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
72,76,Mrs. Amanda Nicholson,Stuart Wade,PHDP25171211120966,5,0.800299885,0.0,2017-11-24T00:00:00,0,0.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
74,80,Jamie Gregory-Rees,Joel Evans,SXQL48789557445419,16,0.6387542857,0.0,2018-07-25T00:00:00,23,7000.0,25000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
98,104,Denise Thompson,Dr. Christian Smith,LHGO39484013568564,22,0.399997093,0.0,2018-03-27T00:00:00,173,10212.0,60000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
107,113,Laura Taylor-Jones,Dr. Luke Marsh,GPRI81316087934659,60,0.0,,2017-03-09T14:26:13,0,0.0,25000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
114,120,Thomas Jones,Yvonne Gregory,RQPA99286134726434,33,0.4513427803,0.0,2006-08-23T00:00:00,55,185191.73,200000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.9916580074,,
136,142,Roy O'Brien,Leigh Griffiths-Watson,VGMK93000054957430,15,0.2990548484,0.0,2017-09-22T00:00:00,0,0.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.6070259847,,
166,174,Jeffrey Ashton,Mr. John Simpson,RXKX97690614599046,62,0.4875507812,0.0,2016-01-26T00:00:00,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.7224318318,,
170,178,Edward Powell-Moran,Leonard Gough-Vincent,TQSC54916833810971,3,0.0,,2013-12-04T17:12:08,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
175,183,Francesca Stone,Charles Jones,MGWX20555419991977,12,0.0,,2016-06-27T11:35:29,0,0.0,15000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
184,192,Joshua Byrne,Patrick Cross,ELNY46880616800761,6,0.4961868277,0.0,2019-05-15T00:00:00,11,9670.35,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
189,198,Mrs. Melissa Pearce,Dr. Malcolm Elliott,BJRD93893554444259,0,0.4413395729,0.0,2019-01-23T00:00:00,0,0.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
204,213,Charles Stanley,Julie Welch,KIQD44382774047348,3,0.3224337626,0.0,2019-12-04T00:00:00,26,2972.38,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
222,231,Ashleigh Watson-Lawrence,Gemma Young-Phillips,AAMI69895399119182,6,0.2918215666,0.0,2014-07-15T00:00:00,31,56267.5,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
224,233,Russell Grant-Evans,Angela Burton-Taylor,GINH85108077784541,13,0.6050075415,0.0,2017-03-21T00:00:00,42,3978.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.8541354159,,
270,279,Francesca McKenzie-Collins,Nathan Jones,GZCK88227659465876,27,0.0,,2018-08-14T17:49:56,0,0.0,15000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
297,310,Miss Harriet Tyler,Jade Thomas,EKFW96917765445914,11,0.2655254663,0.0,2019-04-18T00:00:00,8,6400.0,55000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
307,320,Damien Harris,Ms. Gemma Parker,XGFU01599165399052,6,0.0,,2017-02-03T11:44:42,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
313,326,Michael Wilson,Brenda Davis,GBOC70156244571026,18,0.2484828499,0.0,2017-01-12T00:00:00,26,2326.81,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
322,335,Mr. Charlie Jenkins,Jeremy Mason,VHYJ58683844676302,0,0.0,,2020-02-05T17:29:56,0,0.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
459,477,Dr. Tracy Chandler,Dr. Sarah Turner,FFYN25302864354791,22,0.3526450637,0.0,2015-08-18T00:00:00,15,18185.3,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.9761517295,,
471,489,Dr. Tracy Chandler,Dr. Sarah Turner,FFYN25302864354791,22,0.3526450637,0.0,2015-08-18T00:00:00,15,18185.3,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.9761517295,,
551,569,Mr. Barry Wells,Danielle Hudson,CLDB61185288622179,3,0.3839191917,0.0,2018-10-25T00:00:00,4,2933.38,250000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
604,622,Ashley Johnson,Connor Cox,BTXK71717619669732,17,0.3947425017,0.0,2007-10-11T00:00:00,25,771227.83,1250000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.999998784,,
654,672,Tina Long,Benjamin Phillips,QCWG99836134413751,51,0.0,,2006-03-17T10:27:40,0,0.0,80000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
668,688,Molly Moore,Chloe Cameron,HSVJ01676285505552,3,0.4734829295,0.0,2014-02-07T00:00:00,18,2421.34,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
676,696,Gerard Banks,Francesca Graham,LDZT52564013524887,11,0.539816876,0.0,2019-10-14T00:00:00,129,13257.7,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
736,759,Alexandra Smith-White,Matthew Jones,EGZJ67693939947945,21,0.0,,2018-08-15T16:55:09,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
789,813,Marilyn Johnson,Marie Barrett,XQSY14069987781202,17,0.5651845254,0.0,2020-02-14T00:00:00,4,2380.39,65000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
796,821,Dr. Andrew Wood,Kenneth Thomson,CZEO09131807989562,15,0.5458447443,0.0,2019-03-29T00:00:00,0,0.0,5000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
825,850,Dr. Hayley Freeman,Mr. Garry Green,XCGV50737515493791,224,0.3144315725,0.0,2014-02-26T00:00:00,26,31523.31,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
830,855,Carly Miller,Ashleigh Byrne-Bradley,XWKM67600416524797,80,0.3395098045,0.0,2012-01-20T00:00:00,0,4553.32,350000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.999659791,,
856,882,Gillian Bowen,Miss Paige Burrows,HIRB17152379891401,3,0.6457560464,0.0,2013-01-31T00:00:00,0,0.0,80000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
871,897,Mrs. Emily Mahmood,Mrs. Eleanor Dunn,SQDH15572831503882,11,0.3952039906,0.0,2018-05-24T00:00:00,0,0.0,15000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
898,924,Tina Knowles,Mathew Gibson,KRST28775610809302,2,0.4570229717,0.0,2019-08-26T00:00:00,0,0.0,70000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
911,937,Dr. Sarah Barnett,Eleanor Thornton,TTNX95785681065760,30,0.0,,2016-10-18T17:20:43,0,0.0,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
920,946,Nicole Adams,Bruce Morgan,FIXX62185133473858,0,0.6436423155,0.0,2019-07-08T00:00:00,24,12924.0,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
973,1001,Gregory Bradley-Higgins,Mathew Kerr,QOZV27414989607321,0,0.6511965534,0.0,2020-09-17T00:00:00,264,18666.53,20000.0,DocumentacaoReprovada,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,,,,,,,,,,,6143222.0,0.0,12.0,0.0,2012.0,De 6 a 10 anos,1000.0,False,True,1.0,0.0,
979,1007,Mr. Shaun Collier,Beverley Marshall-Archer,KMLG38110620543561,2,0.4195278983,0.0,2019-08-29T00:00:00,8,19814.4,40000.0,DocumentacaoReprovada,De 51 a 80 % - Alto,0.4528301886792452,0.5471698113207547,0.0,,,,,,,,,,,20000.0,19000.0,12.0,1000.0,2018.0,De 0 a 5 anos,300000.0,False,True,1.0,42900.0,
1160,1193,Martyn Foster,Francesca Nolan,WSUA65872402892522,7,0.3418628183,0.0,2017-03-22T00:00:00,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1194,1229,Karl Hunt,Martyn Patel,BYHT82845654919249,3,0.4792305167,0.0,2008-05-21T00:00:00,0,0.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1197,1232,Mrs. Sandra Ali,Nicola Wells,ELPP75457765621966,0,0.6206004051,0.0,2020-09-29T00:00:00,14,69120.0,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1214,1249,John Howard,Martin Price-Collins,DGFA43623485232793,8,0.4766808982,0.0,2006-08-18T00:00:00,0,0.0,25000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.981281418,,
1283,1320,Leigh Hughes-Pearce,Annette Perkins,IJXE11538394396738,32,0.3787503216,0.0,2011-10-21T00:00:00,38,537860.61,1500000.0,DocumentacaoReprovada,De 31 a 50 % - Médio,0.6037735849056604,0.3962264150943396,0.898075216001984,,,2019-08-30T03:00:00,19115654.0,14990604.0,19508100.0,1250686.0,0.0,5707680.0,12715408.0,34923577.0,5327134.0,8.0,29596443.0,2010.0,De 6 a 10 anos,500000.0,False,True,0.9963270695,1215674.0,
1295,1336,Alex Riley-Wood,Miss Shirley Noble,NFTJ24029491710055,159,0.2291906595,0.0,2009-04-28T00:00:00,0,0.0,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.501050022,,
1321,1363,Kim Cooper-Thompson,Dominic Hill,HEQW35072192484159,3,0.2341000375,0.0,2016-06-28T00:00:00,0,0.0,15000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1330,1372,Neil Collins-Barker,Harriet Jones,PHFT72717312841090,6,0.5302221939,0.0,2017-07-31T00:00:00,0,16049.33,15000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.9726205905,,
1348,1390,Brandon Wilson,Lisa Cameron,JKGJ86804363799426,17,0.3110553406,0.0,2016-02-02T00:00:00,16,14250.2,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1386,1428,Henry Rice,Mr. David Kemp,YPUV96050220644281,3,0.3106834733,0.0,2016-04-11T00:00:00,35,46394.4,150000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1422,1465,Gail Johnson,Mrs. Michelle Stephens,OBEQ26208703307048,33,0.3416102163,0.0,2016-06-24T00:00:00,0,533.34,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.8659347423,,
1462,1506,Sian Shaw,Dr. Abdul Cross,PZGQ95770897025151,4,0.3698778235,0.0,2016-05-30T00:00:00,0,0.0,75000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1503,1549,Miss Hilary Rowe,Shannon Thomas,AQDD58293283113645,4,0.5552716108,0.0,2018-07-25T00:00:00,0,0.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1519,1565,Mr. Darren Grant,Sheila Jones-Blake,CXIG28465604067668,18,0.0,,2019-12-27T13:35:50,0,0.0,6000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1521,1567,Sam Carey,Dr. Bethany Stephens,JUTB52764243383702,10,0.0486285157,0.0,2019-02-27T00:00:00,203,7182.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1529,1575,Mr. Christian Phillips,Vanessa Shah-Price,WNBI44103763295229,4,0.3989342002,0.0,2011-08-02T00:00:00,52,206985.86,400000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1549,1596,Tracy Perry,Nathan Jones,OFYJ74491257943420,324,0.2542421878,0.0,2018-05-25T00:00:00,0,0.0,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1550,1597,Annette Wood,Barbara Holmes,JGDQ75008523974432,17,0.6030265525,0.0,2016-07-15T00:00:00,0,3194.67,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1552,1603,Jacob Payne,Mrs. Debra Harding,DCYQ25190726049709,6,0.5930708181,0.0,2018-10-17T00:00:00,10,315.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.6417155886,,
1553,1604,Amelia Flynn-Ball,James Davies,BWUW99352369658417,8,0.3623201418,0.0,2017-10-04T00:00:00,26,50790.0,550000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.9737171367,,
1554,1605,Jeffrey Carter,Callum Hopkins,ELSN84483124491658,0,0.5671064697,0.0,2019-04-03T00:00:00,86,8566.4,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1555,1606,Dr. Bradley Wood,Dr. Stuart Johnson,KAWX03826819107908,0,0.3814062206,0.0,2015-11-20T00:00:00,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1556,1607,Karl Hunt,Martyn Patel,BYHT82845654919249,3,0.4792305167,0.0,2008-05-21T00:00:00,0,0.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1557,1608,Dr. Bethan Clark,Teresa Parkinson,QHYH80116350934605,4,0.5428705949,0.0,2017-12-08T00:00:00,80,7163.48,51000000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1558,1609,Garry Bates,Elliott Jones,UNCS82286484620291,4,0.5128469378,0.0,2016-09-29T00:00:00,0,0.0,15000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1559,1610,Timothy Miah,Debra Jarvis,BIJV66580991393702,14,0.3798753393,0.0,2016-01-28T00:00:00,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1560,1611,Dr. Danny Dawson,Billy Davies-Shaw,NHQT10630036765079,4,0.0,,2017-01-16T11:29:03,0,0.0,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1561,1612,Graeme Wright,Shane Gardner,HZFB50457586709277,4,0.0,,2018-01-26T10:34:50,0,0.0,70000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1562,1613,Lisa Murphy,Mrs. Anne Morris,TPTS90307594270868,17,0.5170335648,0.0,2010-01-07T00:00:00,32,17280.0,49000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1563,1614,Edward Griffiths,Carolyn Adams,MXKD68926908438954,0,0.3051808587,0.0,2019-07-31T00:00:00,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1564,1615,Ms. Shannon Edwards,Karen Allen,EGIB10119757500262,6,0.2184626829,0.0,2016-06-29T00:00:00,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.9667848016,,
1565,1616,Dr. Leigh Hall,Georgina Saunders,SWHK44838488887106,24,0.0,,2018-01-30T09:07:51,0,0.0,10000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1566,1617,Marie Fox,Ian Baker,OKFK11813743879606,3,0.3808040168,0.0,2017-10-23T00:00:00,0,0.0,49900.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1567,1618,Dr. Bethan Clark,Teresa Parkinson,QHYH80116350934605,4,0.5428705949,0.0,2017-12-08T00:00:00,80,7163.48,51000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1570,1621,Dr. Julia Bailey,Kelly Gibson,YFAV45794073215935,15,0.4745325714,0.0,2015-05-07T00:00:00,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1575,1626,Dr. Marc Jackson,Kimberley Murray,VJXC73895396584981,0,0.2675895407,0.0,2018-10-16T00:00:00,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1576,1627,Mr. Darren Grant,Sheila Jones-Blake,CXIG28465604067668,18,0.0,,2019-12-27T13:35:50,0,0.0,20000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1579,1630,Gavin Perry,Charlene Jones,VRCB88204998346058,14,0.6059195625,0.0,2010-09-22T00:00:00,0,0.0,30000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.9915465076,,
1581,1632,Ms. Janice Chambers,Hilary Russell,WEMI10921156453713,0,0.0,,2010-11-19T17:06:05,0,0.0,100000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1582,1633,Jemma Archer,Dr. Simon Cooper,UHID51957677075814,4,0.404276689,0.0,2011-11-30T00:00:00,0,0.0,49900.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1584,1635,Dr. Amy Rees,Frederick Brown,YGZO31471378357154,2,0.0,,2017-08-08T11:48:33,0,0.0,50000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1586,1637,Rosie Wood,Teresa Ward,BEEW86878623980476,28,0.0,,2018-09-18T13:57:01,0,0.0,49000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
1587,1639,Kyle Davies,Mrs. Marie Dunn,QWSK66287184048910,0,0.3571167471,0.0,2018-10-16T00:00:00,0,0.0,15000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
1588,1640,Dr. Bethan Clark,Teresa Parkinson,QHYH80116350934605,4,0.5428705949,0.0,2017-12-08T00:00:00,80,7163.48,40000.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
